날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 01월 14일,"3,055.60","3,037.40","3,089.70","3,029.70",-,2.13%
2021년 01월 13일,"2,991.90","3,019.70","3,020.70","2,980.10",-,0.13%
2021년 01월 12일,"2,988.00","2,989.10","3,014.40","2,959.90",-,0.61%
2021년 01월 11일,"2,969.90","2,915.10","2,991.60","2,914.10",-,1.14%
2021년 01월 08일,"2,936.50","2,982.30","2,994.10","2,904.50",-,-0.02%
2021년 01월 07일,"2,937.00","2,873.70","2,943.90","2,873.20",-,3.86%
2021년 01월 06일,"2,828.00","2,820.90","2,884.60","2,803.50",-,-0.32%
2021년 01월 05일,"2,837.20","2,783.20","2,838.20","2,782.60",-,1.94%
2021년 01월 04일,"2,783.20","2,822.00","2,872.20","2,763.10",-,-0.44%
2020년 12월 31일,"2,795.50","2,787.70","2,798.10","2,768.40",-,0.42%
2020년 12월 30일,"2,783.80","2,754.70","2,788.90","2,754.70",-,1.67%
2020년 12월 29일,"2,738.10","2,757.60","2,757.70","2,709.00",-,-0.23%
2020년 12월 28일,"2,744.30","2,781.00","2,782.70","2,741.90",-,-0.22%
2020년 12월 24일,"2,750.20","2,733.70","2,751.70","2,730.80",-,0.98%
2020년 12월 23일,"2,723.50","2,754.90","2,754.90","2,721.90",-,-0.74%
2020년 12월 22일,"2,744.00","2,747.20","2,751.00","2,722.70",-,-0.12%
2020년 12월 21일,"2,747.30","2,718.70","2,751.10","2,703.80",-,-0.63%
2020년 12월 18일,"2,764.70","2,783.10","2,786.10","2,746.40",-,-0.48%
2020년 12월 17일,"2,778.10","2,791.40","2,792.10","2,768.10",-,0.17%
2020년 12월 16일,"2,773.40","2,780.00","2,780.50","2,753.90",-,-0.05%
2020년 12월 15일,"2,774.80","2,774.60","2,779.80","2,753.20",-,1.41%
2020년 12월 14일,"2,736.30","2,723.90","2,751.80","2,723.90",-,1.19%
2020년 12월 11일,"2,704.10","2,703.80","2,724.60","2,675.40",-,-1.08%
2020년 12월 10일,"2,733.70","2,712.00","2,754.60","2,704.60",-,-0.04%
2020년 12월 09일,"2,734.80","2,799.70","2,822.00","2,718.90",-,-2.89%
2020년 12월 08일,"2,816.30","2,805.00","2,825.90","2,790.30",-,0.34%
2020년 12월 07일,"2,806.60","2,796.30","2,809.00","2,780.10",-,0.49%
2020년 12월 04일,"2,793.00","2,728.60","2,793.70","2,724.60",-,2.83%
2020년 12월 03일,"2,716.10","2,730.30","2,745.90","2,713.60",-,-0.01%
2020년 12월 02일,"2,716.40","2,702.90","2,728.00","2,697.30",-,0.24%
2020년 12월 01일,"2,709.70","2,692.10","2,724.60","2,679.40",-,1.74%
2020년 11월 30일,"2,663.50","2,638.10","2,666.10","2,604.50",-,1.21%
2020년 11월 27일,"2,631.60","2,625.70","2,647.60","2,625.50",-,1.20%
2020년 11월 25일,"2,600.20","2,612.90","2,622.50","2,590.60",-,-0.34%
2020년 11월 24일,"2,609.00","2,607.40","2,612.20","2,569.50",-,0.53%
2020년 11월 23일,"2,595.30","2,568.50","2,602.90","2,561.40",-,1.56%
2020년 11월 20일,"2,555.50","2,577.80","2,591.90","2,553.70",-,-0.57%
2020년 11월 19일,"2,570.20","2,513.70","2,572.00","2,511.50",-,1.57%
2020년 11월 18일,"2,530.60","2,554.60","2,572.40","2,530.30",-,-0.72%
2020년 11월 17일,"2,549.00","2,556.60","2,563.60","2,532.00",-,-0.86%
2020년 11월 16일,"2,571.00","2,529.20","2,572.00","2,524.40",-,2.48%
2020년 11월 13일,"2,508.80","2,513.20","2,530.30","2,492.50",-,1.23%
2020년 11월 12일,"2,478.40","2,511.20","2,521.40","2,467.20",-,-1.31%
2020년 11월 11일,"2,511.20","2,465.60","2,514.40","2,464.50",-,3.67%
2020년 11월 10일,"2,422.30","2,474.90","2,485.60","2,417.40",-,-3.01%
2020년 11월 09일,"2,497.60","2,587.30","2,604.50","2,495.60",-,-1.25%
2020년 11월 06일,"2,529.30","2,486.90","2,537.50","2,474.60",-,1.61%
2020년 11월 05일,"2,489.20","2,452.40","2,493.30","2,451.90",-,4.40%
2020년 11월 04일,"2,384.20","2,345.10","2,393.80","2,322.40",-,3.54%
2020년 11월 03일,"2,302.70","2,281.50","2,319.90","2,279.30",-,1.89%
2020년 11월 02일,"2,260.10","2,269.40","2,281.40","2,238.70",-,0.62%
2020년 10월 30일,"2,246.10","2,257.10","2,270.50","2,221.30",-,-1.64%
2020년 10월 29일,"2,283.60","2,220.50","2,304.40","2,219.40",-,2.73%
2020년 10월 28일,"2,223.00","2,261.30","2,264.10","2,221.40",-,-3.39%
2020년 10월 27일,"2,300.90","2,328.10","2,331.70","2,293.00",-,-0.33%
2020년 10월 26일,"2,308.40","2,337.00","2,349.10","2,280.30",-,-2.19%
2020년 10월 23일,"2,360.20","2,355.60","2,361.20","2,338.30",-,-0.43%
2020년 10월 22일,"2,370.40","2,369.60","2,381.60","2,342.30",-,0.13%
2020년 10월 21일,"2,367.30","2,384.10","2,394.20","2,366.30",-,-0.78%
2020년 10월 20일,"2,385.80","2,397.90","2,404.90","2,379.40",-,0.00%
2020년 10월 19일,"2,385.90","2,418.90","2,432.90","2,379.30",-,-0.58%
2020년 10월 16일,"2,399.80","2,424.10","2,425.90","2,398.50",-,-0.47%
2020년 10월 15일,"2,411.10","2,371.20","2,416.40","2,369.20",-,-0.25%
2020년 10월 14일,"2,417.20","2,437.70","2,445.10","2,405.10",-,-0.53%
2020년 10월 13일,"2,430.10","2,438.00","2,449.20","2,418.10",-,-0.14%
2020년 10월 12일,"2,433.50","2,423.10","2,444.90","2,416.80",-,1.48%
2020년 10월 09일,"2,398.00","2,398.90","2,403.80","2,381.10",-,1.78%
2020년 10월 08일,"2,356.20","2,348.00","2,360.00","2,341.00",-,1.17%
2020년 10월 07일,"2,328.80","2,317.30","2,333.70","2,314.70",-,2.09%
2020년 10월 06일,"2,281.10","2,296.90","2,337.50","2,273.70",-,-0.63%
2020년 10월 05일,"2,295.60","2,245.20","2,296.10","2,245.00",-,3.35%
2020년 10월 02일,"2,221.10","2,236.40","2,270.30","2,220.70",-,-3.08%
2020년 10월 01일,"2,291.80","2,279.60","2,297.40","2,265.90",-,2.12%
2020년 09월 30일,"2,244.10","2,233.30","2,266.80","2,233.20",-,0.07%
2020년 09월 29일,"2,242.50","2,236.30","2,261.60","2,235.00",-,0.22%
2020년 09월 28일,"2,237.60","2,206.90","2,238.30","2,193.50",-,2.75%
2020년 09월 25일,"2,177.80","2,141.20","2,183.10","2,119.50",-,1.42%
2020년 09월 24일,"2,147.40","2,109.90","2,175.90","2,109.90",-,0.97%
2020년 09월 23일,"2,126.70","2,181.00","2,190.60","2,120.80",-,-2.46%
2020년 09월 22일,"2,180.30","2,167.10","2,181.80","2,132.90",-,1.21%
2020년 09월 21일,"2,154.30","2,123.40","2,154.90","2,102.20",-,-0.31%
2020년 09월 18일,"2,161.00","2,209.30","2,211.30","2,133.60",-,-1.51%
