날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 11월 18일,"3,347.30","3,337.33","3,358.89","3,333.99",28.75B,0.22%
2020년 11월 17일,"3,339.90","3,347.15","3,347.70","3,323.95",28.36B,-0.21%
2020년 11월 16일,"3,346.97","3,325.62","3,346.97","3,313.65",27.96B,1.11%
2020년 11월 13일,"3,310.10","3,327.23","3,327.23","3,291.64",22.79B,-0.86%
2020년 11월 12일,"3,338.68","3,344.46","3,350.28","3,329.49",21.65B,-0.11%
2020년 11월 11일,"3,342.20","3,354.02","3,365.84","3,339.04",27.12B,-0.53%
2020년 11월 10일,"3,360.15","3,387.62","3,387.62","3,346.17",27.87B,-0.40%
2020년 11월 09일,"3,373.73","3,329.43","3,380.82","3,329.43",31.02B,1.86%
2020년 11월 06일,"3,312.16","3,326.46","3,326.46","3,292.15",23.49B,-0.24%
2020년 11월 05일,"3,320.13","3,305.58","3,320.41","3,291.60",22.68B,1.30%
2020년 11월 04일,"3,277.44","3,273.43","3,286.62","3,254.11",18.85B,0.19%
2020년 11월 03일,"3,271.07","3,239.81","3,278.38","3,237.85",21.53B,1.42%
2020년 11월 02일,"3,225.12","3,228.72","3,242.80","3,209.91",22.68B,0.02%
2020년 10월 30일,"3,224.53","3,278.63","3,279.86","3,219.42",23.02B,-1.47%
2020년 10월 29일,"3,272.73","3,235.76","3,289.77","3,231.12",18.47B,0.11%
2020년 10월 28일,"3,269.24","3,256.22","3,275.87","3,238.38",17.32B,0.46%
2020년 10월 27일,"3,254.32","3,240.74","3,258.34","3,235.54",14.91B,0.10%
2020년 10월 26일,"3,251.12","3,258.70","3,264.45","3,226.60",16.77B,-0.82%
2020년 10월 23일,"3,278.00","3,308.16","3,326.05","3,276.62",17.42B,-1.04%
2020년 10월 22일,"3,312.50","3,315.82","3,320.88","3,281.37",16.60B,-0.38%
2020년 10월 21일,"3,325.02","3,332.15","3,332.15","3,304.17",17.76B,-0.09%
2020년 10월 20일,"3,328.10","3,307.15","3,328.10","3,293.77",16.51B,0.47%
2020년 10월 19일,"3,312.67","3,351.10","3,371.09","3,307.84",21.23B,-0.71%
2020년 10월 16일,"3,336.36","3,334.46","3,348.95","3,319.11",19.43B,0.13%
2020년 10월 15일,"3,332.18","3,342.92","3,354.58","3,330.00",19.10B,-0.26%
2020년 10월 14일,"3,340.78","3,353.62","3,353.62","3,332.96",19.87B,-0.56%
2020년 10월 13일,"3,359.75","3,353.12","3,361.83","3,334.50",20.49B,0.04%
2020년 10월 12일,"3,358.47","3,287.33","3,359.15","3,286.11",25.96B,2.64%
2020년 10월 09일,"3,272.08","3,262.61","3,280.51","3,260.19",18.83B,1.68%
