날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 04월 18일,358.5,358,359.25,357,102.30K,0.07%
2019년 04월 17일,358.25,358.25,360,356.75,148.18K,-0.21%
2019년 04월 16일,359,362.5,362.5,357.25,192.35K,-1.03%
2019년 04월 15일,362.75,361.25,364.25,361,208.54K,0.48%
2019년 04월 12일,361,360.25,361.5,358.5,95.87K,0.28%
2019년 04월 11일,360,361.25,363,358.5,264.73K,-0.48%
2019년 04월 10일,361.75,360.25,362.75,360,253.30K,0.49%
2019년 04월 09일,360,359.75,362.25,355.25,275.45K,0.00%
2019년 04월 08일,360,362.25,363.5,359.5,269.56K,-0.69%
2019년 04월 05일,362.5,364.5,364.75,360.5,273.06K,-0.75%
2019년 04월 04일,365.25,362.75,366.25,362.75,159.33K,0.69%
2019년 04월 03일,362.75,361.25,364.75,360.5,135.85K,0.35%
2019년 04월 02일,361.5,362.25,363.5,359.25,117.19K,-0.07%
2019년 04월 01일,361.75,356.5,363,356.5,239.35K,1.47%
2019년 03월 29일,356.5,373.75,375,356,441.01K,-4.68%
2019년 03월 28일,374,373.75,374.75,372,105.83K,0.07%
2019년 03월 27일,373.75,376.75,377,372,127.92K,-0.93%
2019년 03월 26일,377.25,379.25,380.5,375.5,165.18K,-0.66%
2019년 03월 25일,379.75,378.75,380.75,376.75,155.85K,0.40%
2019년 03월 22일,378.25,375.75,380.75,375.5,222.58K,0.53%
2019년 03월 21일,376.25,371,377.5,370.5,220.23K,1.28%
2019년 03월 20일,371.5,371.5,372.5,368.75,101.48K,0.07%
2019년 03월 19일,371.25,372,373.75,367.75,159.38K,-0.07%
2019년 03월 18일,371.5,374,375.5,370.25,169.24K,-0.47%
2019년 03월 15일,373.25,369.25,373.75,369,197.27K,3.25%
2019년 03월 14일,361.5,360.25,363.25,360,0.39K,1.19%
2019년 03월 13일,357.25,357.25,359.5,355,0.32K,0.21%
2019년 03월 12일,356.5,353.25,357.75,352.75,0.80K,1.13%
2019년 03월 11일,352.5,357.5,357.5,353,1.75K,-0.63%
2019년 03월 08일,354.75,357.75,358.25,354,2.27K,-0.35%
2019년 03월 07일,356,362.25,362.25,355.75,2.48K,-1.79%
2019년 03월 06일,362.5,366,366,361,2.92K,-0.96%
2019년 03월 05일,366,366,367.25,364.5,4.57K,0.27%
2019년 03월 04일,365,365.25,368,364.5,5.27K,0.27%
2019년 03월 01일,364,361.75,364,357.5,12.36K,0.55%
2019년 02월 28일,362,363.75,364.75,361.25,23.51K,-0.48%
2019년 02월 27일,363.75,366,368.25,362.5,189.22K,-0.68%
2019년 02월 26일,366.25,370.75,371.25,365.5,242.77K,-1.15%
2019년 02월 25일,370.5,377.75,378.5,370,344.71K,-1.27%
2019년 02월 22일,375.25,374.75,377.75,374.5,316.66K,-0.07%
2019년 02월 21일,375.5,371,378.5,370.5,257.19K,1.28%
2019년 02월 20일,370.75,371.5,373.5,368.5,310.67K,0.27%
2019년 02월 19일,369.75,374.25,376.25,369,230.71K,-1.40%
2019년 02월 18일,375,374.75,375,374.75,-,0.07%
2019년 02월 17일,374.75,374.75,374.75,374.75,-,0.00%
2019년 02월 15일,374.75,374.75,376.5,373,209.10K,0.00%
2019년 02월 14일,374.75,378.75,379,374,225.29K,-1.06%
2019년 02월 13일,378.75,377.5,379,376.25,243.88K,0.13%
2019년 02월 12일,378.25,373.5,378.75,373,291.26K,1.48%
2019년 02월 11일,372.75,374.5,375,371.75,309.36K,-0.40%
