회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본금(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일
(주)금양,1570,2018,10.95,-26.81,4.89,3.13,0.59,407.5,44.21,21589796,3978119,1009169,1976-12-27
(주)금양,1570,2019,-20.93,-7.79,5.5,2.25,0.56,223.53,47.2,22024068,3534825,930523,1976-12-27
(주)금양,1570,2020,-0.76,0,3.68,-4.26,-1.08,388.81,52.11,22024068,2349976,-1814879,1976-12-27
(주)금양,1570,2021,29.2,0,4.49,0.07,0.02,256.01,53.35,23907556,3699077,32555,1976-12-27
(주)금호에이치티,214330,2018,-1.36,102.78,6.62,6.07,3.95,51.19,17.15,4882500,5485292,5998810,2015-11-11
(주)금호에이치티,214330,2019,27.4,-87.08,2.78,0.58,0.35,69.92,28.48,11512858,2930468,775124,2015-11-11
(주)금호에이치티,214330,2020,-23.25,0,-0.96,-2.51,-1.49,65.95,32.71,13850612,-776194,-4434189,2015-11-11
(주)금호에이치티,214330,2021,25.67,0,1.23,-0.29,-0.19,39.79,18.01,62628831,1254356,-607351,2015-11-11
(주)금화피에스시,36190,2018,17.14,75.88,19.26,13.18,10.37,25.44,0,3000000,21946977,23907686,2000-12-26
(주)금화피에스시,36190,2019,-16.64,-27.99,18.58,8.29,6.96,13.6,0.04,3000000,17655469,17215052,2000-12-26
(주)금화피에스시,36190,2020,33.34,32.52,17.69,9.9,8.43,21.05,0.03,3000000,22407786,22813050,2000-12-26
(주)금화피에스시,36190,2021,-8.41,-33.52,13.53,6.26,5.36,12.3,0.12,3000000,15702897,15165446,2000-12-26
(주)기가레인,49080,2018,54.52,0,5.65,4.35,1.96,117.87,32.39,25163858,3559087,3438175,2013-12-19
(주)기가레인,49080,2019,-42.76,0,-24.48,-14.36,-6.25,147.79,44.92,26138060,-8819955,-11082829,2013-12-19
(주)기가레인,49080,2020,-33.59,0,-25.73,-20.85,-6.99,343.46,56.73,26138060,-6157549,-8577230,2013-12-19
(주)기가레인,49080,2021,57.88,0,5.66,5.77,2.21,88.24,23.06,36024818,2136809,2136395,2013-12-19
(주)기산텔레콤,35460,2018,0.58,0,-10.83,-2.74,-2.3,14.76,2.99,7288670,-1587436,-979657,1999-11-18
(주)기산텔레콤,35460,2019,-17.8,0,-5.22,-7.35,-5.79,42.72,3.49,7288670,-628736,-2277358,1999-11-18
(주)기산텔레콤,35460,2020,-41.84,0,-17,-5.6,-4.06,33.8,10.99,7288670,-1191791,-1587944,1999-11-18
(주)기산텔레콤,35460,2021,12.15,0,-20.51,-5.67,-4.31,29.36,15.21,7288670,-1612340,-1644788,1999-11-18
(주)까뮤이앤씨,13700,2018,-48.1,-69.1,4.99,1.46,0.61,113.49,29.47,22576140,2148618,820732,1989-11-30
(주)까뮤이앤씨,13700,2019,229.78,850.89,7.47,12.39,5.19,161.43,26.42,22576140,10608793,7804226,1989-11-30
(주)까뮤이앤씨,13700,2020,-36.91,-13.67,3.94,9.39,3.9,122.54,29.2,22576140,3533880,6737169,1989-11-30
(주)까뮤이앤씨,13700,2021,-17.29,0,-1.68,-1.63,-0.76,108.92,31.28,22576140,-1242307,-1283984,1989-11-30
(주)까스텔바작,308100,2019,,,,,,,,3298350,5720867,4576015,2019-06-10
(주)까스텔바작,308100,2020,0,0,11.6,3.79,3.37,12.58,1.77,3298350,3679904,3047512,2019-06-10
(주)까스텔바작,308100,2021,3.12,0,4.57,-0.92,-0.69,54.52,18.92,3298350,1493731,-735994,2019-06-10
(주)나노,187790,2018,23.01,0,6.84,2.9,1.78,72.83,25.38,7852619,1349888,1129746,2014-05-08
(주)나노,187790,2019,-6.44,-58.94,3.25,1.08,0.66,54.2,21.64,12898928,601459,463834,2014-05-08
(주)나노,187790,2020,-33.28,0,-2.77,-6.66,-4.19,63.84,19.05,12898928,-341291,-3094211,2014-05-08
(주)나노,187790,2021,-3.44,0,9.22,-34.97,-19.98,91.21,22.82,13216388,1097094,-13280381,2014-05-08
(주)나노브릭,286750,2020,,,,,,,,4560103,-253825,-313304,2019-08-19
(주)나노브릭,286750,2021,0,0,-3.63,-0.94,-0.68,38.87,17.98,4651034,-133177,-141295,2019-08-19
(주)나노신소재,121600,2018,24.99,56.29,17.05,4.61,4.26,7.46,1.33,5424166,3925474,3753298,2011-02-09
